day,pseudotime_bin,n,day_total,fraction_within_day
D8,1,1197,2724,0.43942731277533037
D8,2,626,2724,0.22980910425844348
D8,3,324,2724,0.11894273127753303
D8,4,334,2724,0.12261380323054331
D8,5,191,2724,0.07011747430249633
D8,6,4,2724,0.0014684287812041115
D8,7,0,2724,0
D8,8,0,2724,0
D8,9,1,2724,3.671071953010279e-4
D8,10,47,2724,0.01725403817914831
D14,1,606,6248,0.0969910371318822
D14,2,1143,6248,0.18293854033290652
D14,3,1389,6248,0.2223111395646607
D14,4,1376,6248,0.22023047375160051
D14,5,1365,6248,0.21846991037131883
D14,6,301,6248,0.04817541613316261
D14,7,0,6248,0
D14,8,0,6248,0
D14,9,0,6248,0
D14,10,68,6248,0.01088348271446863
D21,1,51,4217,0.012093905620109082
D21,2,74,4217,0.017548019919373964
D21,3,110,4217,0.02608489447474508
D21,4,111,4217,0.026322029879060942
D21,5,246,4217,0.05833530946170263
D21,6,1324,4217,0.31396727531420443
D21,7,1252,4217,0.29689352620346215
D21,8,302,4217,0.07161489210339103
D21,9,381,4217,0.09034858904434433
D21,10,366,4217,0.08679155797960636
D28,1,14,2872,0.004874651810584958
D28,2,24,2872,0.008356545961002786
D28,3,31,2872,0.010793871866295265
D28,4,37,2872,0.01288300835654596
D28,5,48,2872,0.016713091922005572
D28,6,151,2872,0.05257660167130919
D28,7,466,2872,0.16225626740947074
D28,8,716,2872,0.24930362116991645
D28,9,707,2872,0.2461699164345404
D28,10,678,2872,0.23607242339832868
D35,1,19,2801,0.006783291681542306
D35,2,20,2801,0.007140307033202428
D35,3,32,2801,0.011424491253123885
D35,4,28,2801,0.009996429846483398
D35,5,36,2801,0.01285255265976437
D35,6,106,2801,0.03784362727597287
D35,7,168,2801,0.05997857907890039
D35,8,868,2801,0.30988932524098534
D35,9,797,2801,0.28454123527311675
D35,10,727,2801,0.2595501606569082
