pseudotime_bin,n_cells,median_pseudotime,median_observed_marker_module,median_random_module,median_signed_delta,q25_signed_delta,q75_signed_delta,median_abs_separation,q25_abs_separation,q75_abs_separation
1,1887,20.636594609330388,0.4310113829652156,0.5213601188594512,-0.09296095451197128,-0.17545631904620787,-0.012854817304550181,0.10878506350273004,0.053083413595788914,0.1798139876236078
2,1887,26.304355960272854,0.344693762388911,0.5400379494785524,-0.19623754531501958,-0.27786947806900353,-0.10198068725156534,0.19706788797830332,0.10788865587100302,0.27814135885125724
3,1886,29.13292636313504,0.2865164879404895,0.5433960157697671,-0.25134387139647524,-0.32863844575244106,-0.16462751695548272,0.2523152252421754,0.1675846369904506,0.32928611287793985
4,1886,31.935491065169195,0.2569525707862004,0.5289901780176846,-0.26069921276852254,-0.3262035206454582,-0.18762297353607116,0.26096813912760297,0.18794465240293756,0.32640362503604836
5,1886,34.50856588812312,0.2713061826672812,0.5105274647603284,-0.23191021141266013,-0.3004737596893653,-0.15042456501319296,0.23251558895790608,0.15206110624396663,0.30061218522802935
6,1886,39.33898170513259,0.3593485100575514,0.5031419873989288,-0.13983195663908612,-0.2296302150783917,-0.041914636514607,0.15023712123117205,0.07729738142454477,0.23544181650758453
7,1886,43.02257184952661,0.4031141524142181,0.5049627264230151,-0.0995557562117565,-0.21133443059550702,0.007823649068734811,0.13799056818503264,0.0657170391122465,0.22762061963893274
8,1886,45.53215058459902,0.44491611022892763,0.5022088349005953,-0.05905557525020763,-0.16261270263640454,0.07274108192731124,0.1271419048829911,0.06579570563578431,0.21011807564164733
9,1886,49.16038619601208,0.46078647916306315,0.4683057193523075,-0.00841755804399047,-0.1280770719153504,0.13544910688982467,0.12997716089743225,0.06323157332546656,0.21681575404171355
10,1886,54.62255654603413,0.3267486630783045,0.37440702833940753,-0.03043131497246246,-0.16456310509973038,0.10997065331494502,0.1415854378453659,0.0611588492216688,0.23463389576576726
